"","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","q25","q25.lcl","q25.ucl","q75","q75.lcl","q75.ucl","stratum","Breed"
"Breed=Labrador Retriever",2381,496,42,698,12.1090908985723,0.124457735247483,12.4972677595628,12.2301369863014,12.7315068493151,10.8328767123288,10.4808743169399,11.186301369863,13.8688524590164,13.7123287671233,14.0684931506849,"Breed=Labrador Retriever","Labrador Retriever"
"Breed=Golden Retriever",2137,565,28,596,10.9671199736695,0.130200784048286,11.3169398907104,10.958904109589,11.5917808219178,9.15068493150685,8.72328767123288,9.61917808219178,13,12.6912568306011,13.3205479452055,"Breed=Golden Retriever","Golden Retriever"
"Breed=German Shepherd Dog",977,234,13,285,10.3988820911125,0.186462990051384,10.6684931506849,10.3369863013699,11.227397260274,8.55616438356164,8.18032786885246,9.47397260273973,12.5424657534247,12.1994535519126,12.9780821917808,"Breed=German Shepherd Dog","German Shepherd Dog"
"Breed=Australian Shepherd",737,182,16,173,11.9937186589115,0.287579399471225,12.6767123287671,11.7205479452055,13.3095890410959,9.80327868852459,9.33424657534247,10.7260273972603,14.6657534246575,14.1808219178082,15.0819672131148,"Breed=Australian Shepherd","Australian Shepherd"
"Breed=Poodle",711,163,19,199,12.0999032608357,0.260765810314725,12.4918032786885,11.9890710382514,13.2459016393443,10.4684931506849,9.28219178082192,11.2876712328767,14.2650273224044,13.9098360655738,14.6301369863014,"Breed=Poodle","Poodle"
"Breed=Border Collie",506,107,2,113,13.2063287673087,0.349075713220099,14.1010928961749,13.6547945205479,14.5327868852459,11.8,11.1120218579235,13.4191780821918,15.1342465753425,14.6876712328767,15.6547945205479,"Breed=Border Collie","Border Collie"
"Breed=Dachshund",497,95,5,179,13.9592243487754,0.337290263622423,14.4191780821918,13.792349726776,14.9150684931507,12.0246575342466,10.8383561643836,13.3808219178082,16.068306010929,15.6530054644809,16.4289617486339,"Breed=Dachshund","Dachshund"
"Breed=Pembroke Welsh Corgi",307,75,12,60,12.5830816278202,0.385066974833023,13.3041095890411,12.2821917808219,13.9095890410959,11.1808219178082,9.78904109589041,12.2821917808219,14.8082191780822,13.9095890410959,15.2185792349727,"Breed=Pembroke Welsh Corgi","Pembroke Welsh Corgi"
"Breed=Chihuahua",292,63,10,104,13.6230626687462,0.474856834080804,13.6191780821918,13.0027322404372,14.4207650273224,11.8356164383562,10.6684931506849,12.972602739726,15.8904109589041,14.641095890411,16.6502732240437,"Breed=Chihuahua","Chihuahua"
"Breed=Beagle",290,55,8,117,12.3162728811546,0.416054635062355,12.6328767123288,11.2958904109589,13.7698630136986,9.98630136986301,9.37260273972603,11.8575342465753,14.4191780821918,13.9917808219178,15.3534246575342,"Breed=Beagle","Beagle"
"Breed=Great Dane",280,90,15,105,8.47216144352625,0.2672647296772,8.71506849315069,7.56986301369863,9.33972602739726,6.7041095890411,6.21095890410959,7.24383561643836,10.1945205479452,9.64754098360656,10.7095890410959,"Breed=Great Dane","Great Dane"
"Breed=Boxer",270,62,17,103,9.50800774554856,0.346258963162694,9.72054794520548,9.13972602739726,10.4876712328767,7.74246575342466,6.5327868852459,9.13972602739726,11.6857923497268,10.5452054794521,12.1912568306011,"Breed=Boxer","Boxer"
"Breed=Doberman Pinscher",264,66,8,114,8.56127716340388,0.340966031235141,8.44383561643836,7.94520547945205,9.37431693989071,6.34794520547945,5.55616438356164,7.66027397260274,10.6448087431694,9.60821917808219,11.4931506849315,"Breed=Doberman Pinscher","Doberman Pinscher"
"Breed=Cavalier King Charles Spaniel",260,54,25,87,11.4605441059083,0.37651475406072,11.4849315068493,10.6109589041096,12.5191256830601,9.98904109589041,8.85753424657534,10.6520547945205,13.6338797814208,12.6584699453552,14.2191780821918,"Breed=Cavalier King Charles Spaniel","Cavalier King Charles Spaniel"
"Breed=Havanese",254,57,28,67,13.5957939872428,0.368503800362989,14.2,12.8219178082192,14.6602739726027,12.0355191256831,11.4054794520548,13.4219178082192,15.3387978142077,14.6684931506849,15.958904109589,"Breed=Havanese","Havanese"
"Breed=Miniature Schnauzer",253,57,18,87,12.6350452886348,0.350124028152209,12.9153005464481,11.8328767123288,14.1890410958904,10.7013698630137,9.44383561643836,11.8493150684932,14.5561643835616,14.213698630137,15.1424657534247,"Breed=Miniature Schnauzer","Miniature Schnauzer"
