"","Variable","abs.coef","Type","y","coef","exp(coef)","se(coef)","z","Pr(>|z|)","exp(-coef)","lower .95","upper .95","Variable.y.y","DataFile","SurveyText","Values","ValueLabels","variable_group","variable_group_name","num.values","make.factor","num.na","Ref","score.pval","zph.pval","score.pval.xrand","score.pval.adjust","score.pval.xrand.adjust","zph.pval.adjust"
"51","pa_avg_activity_intensity",0.241433221748007,"factor","xVigorous (sprinting)",-0.241433221748007,0.78550125643846,0.0359592963082152,-6.71406969921293,1.89269829332513e-11,1.27307243852683,0.732045837517799,0.8428600946063,"pa_avg_activity_intensity|Vigorous (sprinting)","HLES_dog_owner","Over the past year, when your dog is being active what is the average intensity level of that activity?","1 | 2 | 3"," Low (walking)  |  Moderate (jogging)  |  Vigorous (sprinting)","pa","Physical Activity",3,TRUE,0,"Low (walking)",1.89030880086522e-20,0.483334608729023,0.942929436633949,1.00126013402877e-17,1,1
"37","hs_health_conditions_cancer",0.244440356296414,"factor","xOnly non-congenital disorder(s)",0.244440356296414,1.27690650052025,0.0269552294833697,9.06838342620023,1.20795816415355e-19,0.783142696503284,1.21119694004387,1.34618092001769,"hs_health_conditions_cancer|Only non-congenital disorder(s)","HLES_dog_owner","Cancer or Tumors","0 | 1 | 2 | 3"," No disorder(s)  |  Only congenital disorder(s)  |  Only non-congenital disorder(s)  |  Both congenital and non-congenital disorder(s)","hs","Health Status",4,TRUE,0,"No disorder(s)",9.92018018284992e-20,2.89791817363424e-07,0.931536010188264,4.81665086872574e-17,1,0.000510404144105551
"44","hs_new_condition_diagnosed_recently",0.212211214219732,"factor","xYes",0.212211214219732,1.23640900466464,0.0234941111808128,9.03252787843451,1.67751066648883e-19,0.808793850762385,1.1807662621832,1.29467387049937,"hs_new_condition_diagnosed_recently|Yes","HLES_dog_owner","In the past three months, has your dog been diagnosed with any new conditions?","True | False","Yes | No","hs","Health Status",2,TRUE,0,"No",1.44445940534029e-19,0.000160159331123296,0.750939390140257,6.47394256772703e-17,1,0.0650965874528419
"38","hs_health_conditions_cardiac",0.278624575749435,"factor","xBoth congenital and non-congenital disorder(s)",0.278624575749435,1.32131119847641,0.0968870734991881,2.87576624710179,0.00403048069073765,0.756823979962548,1.09278490994497,1.59762755445358,"hs_health_conditions_cardiac|Both congenital and non-congenital disorder(s)","HLES_dog_owner","Cardiac disorders","0 | 1 | 2 | 3"," No disorder(s)  |  Only congenital disorder(s)  |  Only non-congenital disorder(s)  |  Both congenital and non-congenital disorder(s)","hs","Health Status",4,TRUE,0,"No disorder(s)",2.69149994675202e-17,0.00104631372767624,0.929289220177391,1.12014228869789e-14,1,0.325208830844373
"18","de_recreational_spaces",0.160190162673202,"factor","xNo",0.160190162673202,1.17373405017557,0.0192775547553696,8.30967229537148,9.5966723390781e-17,0.851981758431917,1.13021383534782,1.21893006213075,"de_recreational_spaces|No","HLES_dog_owner","Do you ever take your dog to parks or other open spaces meant for recreational activities?","True | False","Yes | No","de","Dog Environment",2,TRUE,0,"Yes",8.94091371701488e-17,0.000135575208147642,0.287245443064452,3.47294174327302e-14,1,0.059696430273727
"31","df_weight_change_last_year",0.332444322460799,"factor","xMy dog is a puppy who was growing to his/her full size during the past year",0.332444322460799,1.39437226180734,0.128584512238288,2.58541496696528,0.00972618604489206,0.717168597935124,1.08374573045769,1.79403152405188,"df_weight_change_last_year|My dog is a puppy who was growing to his/her full size during the past year","HLES_dog_owner","In the past 12 months, has your dog's weight stayed about the same? How has your dog's weight changed in the past 12 months?","0 | 1 | 2 | 3 | 99","Yes | Lost weight | Gained weight | My dog is a puppy who was growing to his/her full size during the past year | Don't know","df","Diet Survey",5,TRUE,9881,"Yes",7.5128973846899e-14,0.242083236141983,0.39055958777123,2.73586288612788e-11,1,1
"39","hs_health_conditions_endocrine",0.631385459772712,"factor","xBoth congenital and non-congenital disorder(s)",0.631385459772712,1.88021373605885,0.244323341935057,2.58422079025318,0.00975992926580232,0.531854427410003,1.16476635003986,3.03511832492705,"hs_health_conditions_endocrine|Both congenital and non-congenital disorder(s)","HLES_dog_owner","Endocrine disorders","0 | 1 | 2 | 3"," No disorder(s)  |  Only congenital disorder(s)  |  Only non-congenital disorder(s)  |  Both congenital and non-congenital disorder(s)","hs","Health Status",4,TRUE,0,"No disorder(s)",8.88784343018978e-14,6.08195970895863e-05,0.843198723379378,3.04617133892492e-11,1,0.0357067528450658
"34","hs_chronic_condition_recently_changed_or_treated",0.198553758342474,"factor","xYes",0.198553758342474,1.21963759134726,0.0271339255865257,7.31754635757801,2.52545907454605e-13,0.819915692247039,1.15646997619755,1.28625548854996,"hs_chronic_condition_recently_changed_or_treated|Yes","HLES_dog_owner","In the past three months, has your dog had any changes to the status of, or medications for, these conditions?","True | False","Yes | No","hs","Health Status",2,TRUE,33557,"No",2.32063772543477e-13,3.70555574586163e-06,0.177696719507243,7.51175987410469e-11,1,0.00479934299524229
"42","hs_health_conditions_neurological",0.820773576000743,"factor","xBoth congenital and non-congenital disorder(s)",0.820773576000743,2.27225692124769,0.230576250086466,3.55966226223627,0.000371332041206175,0.440091078895649,1.44607419096398,3.57046100982977,"hs_health_conditions_neurological|Both congenital and non-congenital disorder(s)","HLES_dog_owner","Neurologic disorders","0 | 1 | 2 | 3"," No disorder(s)  |  Only congenital disorder(s)  |  Only non-congenital disorder(s)  |  Both congenital and non-congenital disorder(s)","hs","Health Status",4,TRUE,0,"No disorder(s)",6.67206574557376e-13,0.00514225034609688,0.485690568811978,2.04603740810263e-10,1,0.799141394559198
"63","pa_on_leash_walk_brisk_pace_pct",0.204592475027521,"numeric","x",-0.204592475027521,0.814979373192735,0.0285804527143841,-7.15847565719463,8.15790704693076e-13,1.22702491976261,0.770582055848192,0.861934655354175,"pa_on_leash_walk_brisk_pace_pct","HLES_dog_owner","What % of the time are your on-leash activities at a brisk pace?","Numeric",NA,"pa","Physical Activity",1,FALSE,2615,NA,7.57646869590361e-13,0.139022495726188,0.330491927465412,2.20721018288078e-10,1,1
