"Breed_Class","Sex","log.rank.pvalue"
"Mixed Breed","Female",1.86458975014995e-69
"Mixed Breed","Male",4.60983150076187e-88
"AKC-Recognized Breed","Female",9.72815948938862e-100
"AKC-Recognized Breed","Male",5.77468158641178e-138
