"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Size_Class_at_HLES                ",4,59.5922336289627,14.8980584072407,8.70078968323184,5.13451313132148e-07
"Breed_Class                       ",1,5.28391916368132,5.28391916368132,3.08592355390721,0.0789803987181511
"Sex                               ",1,0.488325805804747,0.488325805804747,0.285192876619199,0.593320740871068
"Size_Class_at_HLES:Breed_Class    ",4,31.2845221153375,7.82113052883436,4.56771009727135,0.00109430249860306
"Size_Class_at_HLES:Sex            ",4,0.395551922466883,0.0988879806167206,0.057752728444629,0.993821062710435
"Breed_Class:Sex                   ",1,2.26911696370682,2.26911696370682,1.32521359013274,0.249665689197351
"Size_Class_at_HLES:Breed_Class:Sex",4,6.02571150305544,1.50642787576386,0.87978659780316,0.474983624272376
"Residuals                         ",38357,65677.3519566643,1.71226508738077,NA,NA
