"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Size_Class_at_HLES                ",4,20351.3170486036,5087.82926215091,276.333580008764,7.75380876344499e-235
"Breed_Class                       ",1,1101.57576838754,1101.57576838754,59.8295186503066,1.05796860692918e-14
"Sex                               ",1,62.3051724055049,62.3051724055049,3.38396012459699,0.0658409195703216
"Size_Class_at_HLES:Breed_Class    ",4,2996.55831069385,749.139577673463,40.6877689400382,4.39646378355404e-34
"Size_Class_at_HLES:Sex            ",4,673.371325570375,168.342831392594,9.14314826041569,2.22220255011985e-07
"Breed_Class:Sex                   ",1,11.6194682464613,11.6194682464613,0.631084317673309,0.42696245547465
"Size_Class_at_HLES:Breed_Class:Sex",4,159.989263549614,39.9973158874035,2.17236092652116,0.0693683686124629
"Residuals                         ",41004,754961.995782849,18.4119109302226,NA,NA
