"Size_Class_at_HLES","Breed_Class","Sex","N","Deaths","mort.rate","first.age.mean","followup.years.mean","death.age.mean","first.age.0%","first.age.25%","first.age.50%","first.age.75%","first.age.100%","followup.years.0%","followup.years.25%","followup.years.50%","followup.years.75%","followup.years.100%","death.age.0%","death.age.25%","death.age.50%","death.age.75%","death.age.100%"
"Toy and Small dogs","Non-AKC-Recognized or Mixed Breed","Male",2128, 538,0.1141004,7.776499,2.215764,14.333155, 0.00000000, 3.77185792, 7.68715847,11.23356164,24.41095890,0.002732240,1.028843851,2.081985927,3.478469571,4.685792350, 4.1534247,12.8047945,14.7359757,16.4023224,22.6273973
"Medium dogs","Non-AKC-Recognized or Mixed Breed","Male",1932, 524,0.1220085,7.301926,2.222973,14.024107, 0.00000000, 3.12320907, 7.00000000,11.00000000,22.67671233,0.002739726,1.051991167,2.076491504,3.419004042,4.654285500, 1.1917808,12.6561644,14.4760573,15.8924658,20.5890411
"Standard dogs","Non-AKC-Recognized or Mixed Breed","Male",3196, 840,0.1201636,6.517324,2.187255,12.888702, 0.00000000, 2.98495958, 6.00000000,10.00000000,18.00000000,0.002732240,1.029214387,2.077835167,3.285796093,4.691496369, 0.8136986,11.3732877,13.5369863,14.9513699,19.8191781
"Large dogs","Non-AKC-Recognized or Mixed Breed","Male",2136, 647,0.1406838,6.830156,2.153074,12.286776, 0.00000000, 3.44246575, 6.67167453,10.00000000,20.58630137,0.005479452,1.025699903,2.054794521,3.234851037,4.636612022, 1.3934426,10.8960289,12.7150685,14.0739726,20.2849315
"Giant dogs","Non-AKC-Recognized or Mixed Breed","Male", 825, 283,0.1671842,6.346950,2.051810,11.345698, 0.23287671, 3.08493151, 6.00273973, 9.24383562,16.70136986,0.002739726,1.005479452,2.021917808,3.063679916,4.687072386, 1.4000000, 9.6826334,11.8684932,13.3256381,16.7643836
"Toy and Small dogs","AKC-Recognized Breed","Male",2497, 893,0.1649555,8.361038,2.168034,14.358204, 0.18630137, 3.79234973, 8.74043716,12.41530055,23.31232877,0.002739726,1.027397260,2.054794521,3.333333333,4.773224044, 0.8136986,13.0136986,14.6986301,16.2136986,22.8164384
"Medium dogs","AKC-Recognized Breed","Male",1454, 397,0.1251167,6.773989,2.182282,13.432134, 0.18082192, 2.68287671, 6.00000000,10.43424658,20.37808219,0.019125683,1.054794521,2.056216783,3.212783517,4.661509095, 2.0027397,11.9260274,13.9808219,15.4684932,24.4493151
"Standard dogs","AKC-Recognized Breed","Male",2021, 550,0.1240173,6.135849,2.194392,12.340966, 0.10136986, 2.45753425, 5.52328767, 9.37808219,21.66666667,0.002739726,1.030032188,2.081570477,3.378082192,4.656561120, 1.3506849,10.7561644,12.8645819,14.4109589,18.5643836
"Large dogs","AKC-Recognized Breed","Male",3493,1036,0.1354692,5.922117,2.189377,11.455993, 0.00000000, 2.65205479, 5.29041096, 8.92896175,24.82786885,0.002739726,1.038356164,2.057534247,3.232876712,4.714566959, 1.4821918, 9.8219178,12.0246575,13.4972603,25.8547945
"Giant dogs","AKC-Recognized Breed","Male", 827, 280,0.1620017,4.720880,2.089936, 9.459119, 0.16712329, 2.00000000, 4.00000000, 7.00958904,15.70684932,0.002732240,1.039666143,2.048888390,3.054719665,4.704918033, 1.8164384, 7.5904110, 9.8251366,11.3239726,17.5136612
