"","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","q25","q25.lcl","q25.ucl","q75","q75.lcl","q75.ucl","stratum","Size_Class_at_HLES","Breed_Class","Sex"
"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=Mixed Breed         , Sex=Female",2163,429,31,546,13.6641047740497,0.158844010278397,14.0794520547945,13.7835616438356,14.5095890410959,12.0191256830601,11.6958904109589,12.5616438356164,15.9150684931507,15.6958904109589,16.158904109589,"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=Mixed Breed         , Sex=Female","Toy and Small dogs","Mixed Breed","Female"
"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=Mixed Breed         , Sex=Male  ",2108,399,16,531,13.6488302495629,0.151706750733833,14.1671232876712,13.9643835616438,14.4972677595628,11.8712328767123,11.213698630137,12.4890710382514,15.6767123287671,15.4794520547945,16.0821917808219,"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=Mixed Breed         , Sex=Male  ","Toy and Small dogs","Mixed Breed","Male"
"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=AKC-Recognized Breed, Sex=Female",2208,373,53,757,13.0721820461734,0.165420940880559,13.6065573770492,13.3041095890411,13.9287671232877,11.4082191780822,10.896174863388,11.8931506849315,15.2986301369863,15.0081967213115,15.5041095890411,"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=AKC-Recognized Breed, Sex=Female","Toy and Small dogs","AKC-Recognized Breed","Female"
"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ",2496,438,26,890,12.8378983417976,0.202125446284075,13.3306010928962,13.051912568306,13.6630136986301,10.931693989071,10.4726775956284,11.5479452054795,15.0849315068493,14.8657534246575,15.3333333333333,"Size_Class_at_HLES=Toy and Small dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ","Toy and Small dogs","AKC-Recognized Breed","Male"
"Size_Class_at_HLES=Medium dogs, Breed_Class=Mixed Breed         , Sex=Female",2727,605,68,642,13.4454278546676,0.140369618292874,13.8169398907104,13.6803278688525,14.0986301369863,12.0546448087432,11.8109589041096,12.5819672131148,15.4794520547945,15.2213114754098,15.7513661202186,"Size_Class_at_HLES=Medium dogs, Breed_Class=Mixed Breed         , Sex=Female","Medium dogs","Mixed Breed","Female"
"Size_Class_at_HLES=Medium dogs, Breed_Class=Mixed Breed         , Sex=Male  ",1868,369,14,513,13.0415258877517,0.198278689789286,13.7753424657534,13.4931506849315,14.1369863013699,11.5150684931507,10.9315068493151,12.0109589041096,15.1890410958904,15.0164383561644,15.4699453551913,"Size_Class_at_HLES=Medium dogs, Breed_Class=Mixed Breed         , Sex=Male  ","Medium dogs","Mixed Breed","Male"
"Size_Class_at_HLES=Medium dogs, Breed_Class=AKC-Recognized Breed, Sex=Female",1440,292,16,368,12.6272510731125,0.195317284664166,13.1972602739726,12.7424657534247,13.5780821917808,11.1808219178082,10.6246575342466,11.7232876712329,14.7021857923497,14.4191780821918,15.1232876712329,"Size_Class_at_HLES=Medium dogs, Breed_Class=AKC-Recognized Breed, Sex=Female","Medium dogs","AKC-Recognized Breed","Female"
"Size_Class_at_HLES=Medium dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ",1454,314,22,396,12.4031978422649,0.192252261518662,13.1311475409836,12.6328767123288,13.5150684931507,10.7260273972603,9.96986301369863,11.441095890411,14.5956284153005,14.3333333333333,14.8360655737705,"Size_Class_at_HLES=Medium dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ","Medium dogs","AKC-Recognized Breed","Male"
"Size_Class_at_HLES=Standard dogs, Breed_Class=Mixed Breed         , Sex=Female",4043,870,35,1052,12.4414854251672,0.111702810612281,13.0301369863014,12.8054794520548,13.2821917808219,10.9918032786885,10.7561643835616,11.2520547945205,14.5095890410959,14.3260273972603,14.6684931506849,"Size_Class_at_HLES=Standard dogs, Breed_Class=Mixed Breed         , Sex=Female","Standard dogs","Mixed Breed","Female"
"Size_Class_at_HLES=Standard dogs, Breed_Class=Mixed Breed         , Sex=Male  ",3066,689,19,820,12.095952090118,0.158246561262515,12.8739726027397,12.3835616438356,13.0928961748634,10.4986301369863,10.0794520547945,10.8524590163934,14.3360655737705,14.1780821917808,14.5780821917808,"Size_Class_at_HLES=Standard dogs, Breed_Class=Mixed Breed         , Sex=Male  ","Standard dogs","Mixed Breed","Male"
"Size_Class_at_HLES=Standard dogs, Breed_Class=AKC-Recognized Breed, Sex=Female",1881,420,27,472,11.9992878472038,0.215004549899414,12.6657534246575,12.1452054794521,13.0218579234973,10.1232876712329,9.72054794520548,10.9123287671233,14.2575342465753,14.0465753424658,14.5464480874317,"Size_Class_at_HLES=Standard dogs, Breed_Class=AKC-Recognized Breed, Sex=Female","Standard dogs","AKC-Recognized Breed","Female"
"Size_Class_at_HLES=Standard dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ",2018,444,56,550,11.5531669841778,0.159852434599725,11.9945355191257,11.6027397260274,12.3224043715847,9.93424657534247,9.34699453551913,10.4191780821918,13.8191780821918,13.5109289617486,14.1147540983607,"Size_Class_at_HLES=Standard dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ","Standard dogs","AKC-Recognized Breed","Male"
"Size_Class_at_HLES=Large dogs, Breed_Class=Mixed Breed         , Sex=Female",1214,262,31,400,11.5261204738983,0.308165345532879,12.186301369863,11.8438356164384,12.5945205479452,9.81369863013699,8.6958904109589,10.5273224043716,13.8,13.5452054794521,14.1530054644809,"Size_Class_at_HLES=Large dogs, Breed_Class=Mixed Breed         , Sex=Female","Large dogs","Mixed Breed","Female"
"Size_Class_at_HLES=Large dogs, Breed_Class=Mixed Breed         , Sex=Male  ",2075,441,5,638,11.4052481520815,0.183852705141031,12.0355191256831,11.7131147540984,12.2630136986301,9.90684931506849,9.5013698630137,10.3315068493151,13.627397260274,13.3907103825137,13.8356164383562,"Size_Class_at_HLES=Large dogs, Breed_Class=Mixed Breed         , Sex=Male  ","Large dogs","Mixed Breed","Male"
"Size_Class_at_HLES=Large dogs, Breed_Class=AKC-Recognized Breed, Sex=Female",3484,754,42,1060,11.4151991551558,0.0990148401897899,11.7205479452055,11.572602739726,11.9205479452055,9.80054644808743,9.47945205479452,10.2438356164384,13.4109589041096,13.2465753424658,13.5753424657534,"Size_Class_at_HLES=Large dogs, Breed_Class=AKC-Recognized Breed, Sex=Female","Large dogs","AKC-Recognized Breed","Female"
"Size_Class_at_HLES=Large dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ",3494,845,76,1040,10.7492809052269,0.106367166539111,11.0712328767123,10.9013698630137,11.4520547945205,9.03835616438356,8.65300546448087,9.35068493150685,12.8712328767123,12.7041095890411,13.1068493150685,"Size_Class_at_HLES=Large dogs, Breed_Class=AKC-Recognized Breed, Sex=Male  ","Large dogs","AKC-Recognized Breed","Male"
"Size_Class_at_HLES=Giant dogs, Breed_Class=Mixed Breed         , Sex=Female",279,58,14,97,10.1056474512868,0.420191521852203,10.3879781420765,9.58356164383562,11.4876712328767,7.91780821917808,6.66849315068493,9.58356164383562,12.5369863013699,11.8356164383562,13.372602739726,"Size_Class_at_HLES=Giant dogs, Breed_Class=Mixed Breed         , Sex=Female","Giant dogs","Mixed Breed","Female"
"Size_Class_at_HLES=Giant dogs, Breed_Class=Mixed Breed         , Sex=Male  ",801,179,21,283,10.1105598440587,0.303397220353369,10.5287671232877,9.80821917808219,11.1397260273973,8.42739726027397,7.76229508196721,9.02465753424658,12.627397260274,12.068306010929,12.9917808219178,"Size_Class_at_HLES=Giant dogs, Breed_Class=Mixed Breed         , Sex=Male  ","Giant dogs","Mixed Breed","Male"
