State,Sex,LE,SE,Quartile
Tennessee,Female,75.5,0.077,74.2 - 77.5
Arkansas,Female,75.6,0.121,74.2 - 77.5
Oklahoma,Female,75.6,0.103,74.2 - 77.5
Louisiana,Female,75.9,0.098,74.2 - 77.5
South Carolina,Female,76.7,0.092,74.2 - 77.5
New Mexico,Female,77,0.152,74.2 - 77.5
Georgia,Female,77.1,0.06,74.2 - 77.5
Alaska,Female,77.3,0.256,74.2 - 77.5
Indiana,Female,77.5,0.077,74.2 - 77.5
Ohio,Female,77.5,0.058,74.2 - 77.5
Wyoming,Female,77.7,0.275,77.6 - 79.3
Missouri,Female,77.8,0.08,77.6 - 79.3
North Carolina,Female,77.9,0.061,77.6 - 79.3
Nevada,Female,78.2,0.112,77.6 - 79.3
Texas,Female,78.3,0.036,77.6 - 79.3
Arizona,Female,78.3,0.076,77.6 - 79.3
District of Columbia,Female,78.5,0.258,77.6 - 79.3
Michigan,Female,78.6,0.062,77.6 - 79.3
Kansas,Female,78.7,0.116,77.6 - 79.3
Montana,Female,78.8,0.195,77.6 - 79.3
Florida,Female,79.3,0.044,77.6 - 79.3
Pennsylvania,Female,79.3,0.054,77.6 - 79.3
South Dakota,Female,79.3,0.23,77.6 - 79.3
Virginia,Female,79.4,0.065,79.4 - 80.5
Delaware,Female,79.4,0.199,79.4 - 80.5
Idaho,Female,79.7,0.137,79.4 - 80.5
Maine,Female,79.8,0.166,79.4 - 80.5
Maryland,Female,79.9,0.077,79.4 - 80.5
Illinois,Female,80,0.054,79.4 - 80.5
Utah,Female,80.2,0.105,79.4 - 80.5
Oregon,Female,80.2,0.089,79.4 - 80.5
Nebraska,Female,80.3,0.138,79.4 - 80.5
Iowa,Female,80.4,0.103,79.4 - 80.5
Wisconsin,Female,80.5,0.079,79.4 - 80.5
North Dakota,Female,80.5,0.224,79.4 - 80.5
Colorado,Female,80.6,0.08,80.6 - 83.1
Washington,Female,80.8,0.067,80.6 - 83.1
Rhode Island,Female,81,0.171,80.6 - 83.1
New Hampshire,Female,81.1,0.155,80.6 - 83.1
Vermont,Female,81.2,0.237,80.6 - 83.1
California,Female,81.4,0.03,80.6 - 83.1
Minnesota,Female,81.4,0.078,80.6 - 83.1
New Jersey,Female,81.6,0.058,80.6 - 83.1
New York,Female,81.6,0.04,80.6 - 83.1
Connecticut,Female,82,0.097,80.6 - 83.1
Massachusetts,Female,82.2,0.065,80.6 - 83.1
Hawaii,Female,83.1,0.155,80.6 - 83.1
