All Causes of Death Rates  Table by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2023"
Sorted by Rate

State,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Rhode Island",44000,691.8 ,678.2, 705.6,10435,falling,-1.4 ,-3.2, -0.1
"Minnesota",27000,679.4 ,673.3, 685.6,49203,stable,-0.4 ,-1.5, 0.5
"Florida",12000,673 ,670.1, 675.8,228935,falling,-1.5 ,-3.2, -0.7
"Massachusetts",25000,665.5 ,660.2, 670.9,61171,stable,-1.3 ,-3.0, 0.8
"Connecticut",09000,653.3 ,646.1, 660.7,32521,falling,-1.9 ,-3.8, -0.5
"California",06000,643.8 ,641.4, 646.1,294729,stable,-0.6 ,-2.2, 0.2
"New Jersey",34000,631 ,626.5, 635.6,75364,falling,-3.4 ,-6.0, -1.5
"New York",36000,617.7 ,614.6, 620.8,162168,falling,-2.6 ,-5.6, -0.1
"Puerto Rico",72001,611.4 ,604.4, 618.5,33951,stable,0.5 ,-2.4, 3.4
"Hawaii",15000,577.2 ,566.7, 587.8,12642,rising,1.0 ,0.1, 2.8

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 1/9/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Death data provided by the National Vital Statistics System [ https://www.cdc.gov/nchs/nvss/index.htm ]. 


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"(†) Death rates (deaths per 100,000 population per year) are age-adjusted to the 2000 US standard population [https://www.seer.cancer.gov/stdpopulations/stdpop.20ages.html] (20 age groups: <1, 1-4, 5-9, ... , 80-84, 85-89, 90+). Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The US Population Data File [https://seer.cancer.gov/popdata/] is used for mortality data. \n"
State Health Departments [ https://www.usa.gov/state-health ] may provide more current or more local data.
"(‡) The Average Annual Percent Change (AAPC) is based on the APCs calculated by Joinpoint Regression Program. Due to data availability issues, the time period used in the calculation of the joinpoint regression model may differ for selected counties. \n"
"For more information about All Causes of Death, see the definitions at http://hdpulse.nimhd.nih.gov/data/cod.html#all."
Data for United States does not include Puerto Rico.

"Please note that the data comes from different sources. Due to different years ( https://hdpulse.nimhd.nih.gov/data/historicaltrend/differences.html ) of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. ( https://seer.cancer.gov/seerstat/ ) Please refer to the source for each graph for additional information. "

"Interpret Rankings provides insight into interpreting mortality statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional deaths) has a dramatic effect on the calculated rate."
"Rural-Urban Continuum Codes (developed by the United States Department of Agriculture (USDA) [ https://www.ers.usda.gov/data-products/rural-urban-continuum-codes.aspx ] ) are used on this website to distinguish which counties are rural and urban; additionally, how much of a state’s population is classified as rural or urban. For more information about using Rural-Urban Continuum Codes, go to the rural urban [ http://hdpulse.nimhd.nih.gov/data/ruralurban.html ] page."

