All Causes of Death Rates  Table by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2023"
Sorted by Rate

State,FIPS,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"United States",00000,748.8 ,748, 749.7,3090884,falling,-1.0 ,-2.7, -0.2
"West Virginia",54000,998.8 ,985.9, 1011.9,24693,stable,-0.2 ,-2.1, 1.0
"Mississippi",28000,990.3 ,979.7, 1001,35050,stable,-1.0 ,-3.1, 0.2
"Kentucky",21000,968.6 ,960.2, 977.1,53044,stable,-0.6 ,-2.2, 0.2
"Tennessee",47000,948.2 ,941.5, 955,79601,stable,-0.7 ,-2.4, 0.1
"Oklahoma",40000,942.5 ,933.5, 951.4,44172,stable,-0.6 ,-2.1, 0.4
"Alabama",01000,939.2 ,931.4, 947,59237,falling,-1.1 ,-2.9, -0.2
"Arkansas",05000,939.1 ,929.2, 949.1,35758,stable,-0.7 ,-2.2, 0.1
"Louisiana",22000,919.5 ,911.2, 927.8,49437,stable,-1.0 ,-2.9, 0.8
"South Carolina",45000,864.9 ,857.7, 872.2,58011,falling,-1.3 ,-3.1, -0.5
"Indiana",18000,853.9 ,847.4, 860.3,69941,falling,-1.3 ,-2.8, -0.3
"Ohio",39000,847.6 ,842.9, 852.4,127813,falling,-1.5 ,-3.1, -0.6
"Missouri",29000,845.8 ,839.2, 852.4,66495,stable,-0.9 ,-2.6, 0.0
"New Mexico",35000,837.6 ,826.3, 849,22287,stable,0.5 ,-1.1, 1.7
"North Carolina",37000,834.7 ,829.6, 839.8,107745,stable,-0.5 ,-1.8, 0.2
"Georgia",13000,816.5 ,811.2, 821.8,96527,falling,-1.5 ,-3.5, -0.6
"Kansas",20000,808.6 ,799.2, 818.1,29266,stable,-0.4 ,-1.8, 0.4
"Maine",23000,807.5 ,794.7, 820.3,16744,rising,1.3 ,0.8, 1.9
"Alaska",02900,800.6 ,778.6, 823.1,5529,stable,0.5 ,-0.9, 1.7
"Michigan",26000,796.3 ,791.3, 801.3,103301,falling,-1.5 ,-3.1, -0.5
"Nevada",32000,783.1 ,773.9, 792.4,29002,stable,-0.9 ,-2.8, 0.3
"Oregon",41000,782.7 ,775.1, 790.4,42532,stable,1.3 ,0.0, 2.2
"Delaware",10000,776 ,760.7, 791.5,10649,stable,-0.7 ,-2.4, 0.2
"Wyoming",56000,772.8 ,752.1, 794,5586,falling,-1.6 ,-3.4, -0.2
"Texas",48000,764.4 ,761.2, 767.6,229115,falling,-1.6 ,-3.5, -0.6
"Pennsylvania",42000,762 ,757.9, 766.2,138026,falling,-1.4 ,-3.0, -0.5
"Iowa",19000,761.5 ,753.1, 770.1,32552,stable,-0.3 ,-1.5, 0.9
"Nebraska",31000,761.5 ,750.3, 772.8,18306,rising,1.0 ,0.4, 2.6
"Montana",30000,754.1 ,739.7, 768.6,11193,falling,-1.6 ,-3.2, -0.6
"Wisconsin",55000,754 ,747.7, 760.4,57506,stable,-0.5 ,-1.5, 0.5
"South Dakota",46000,749.2 ,732.9, 765.7,8548,stable,-1.5 ,-3.3, 0.6
"Virginia",51000,748.1 ,742.8, 753.4,78158,stable,-0.4 ,-1.7, 0.3
"Vermont",50000,739.7 ,721.6, 758.3,6770,rising,0.6 ,0.2, 1.1
"Utah",49000,736.9 ,726.8, 747,21274,stable,-0.7 ,-2.0, 0.1
"Idaho",16000,736.5 ,725.1, 748.1,16474,falling,-1.2 ,-2.7, -0.5
"Washington",53000,729.1 ,723.4, 734.7,66015,stable,0.8 ,-0.5, 1.6
"New Hampshire",33000,728.6 ,716.2, 741.1,14146,rising,0.8 ,0.4, 1.2
"Illinois",17000,726.2 ,721.9, 730.5,113744,stable,-1.2 ,-2.8, 0.3
"Arizona",04000,717.8 ,712.3, 723.3,69335,falling,-1.2 ,-3.3, -0.1
"District of Columbia",11001,710.7 ,690.7, 731.1,4916,falling,-3.2 ,-5.8, -0.9
"Maryland",24000,706.8 ,700.7, 712.9,53415,falling,-1.6 ,-3.0, -0.4
"Colorado",08000,706.4 ,699.8, 713.1,44971,stable,-0.3 ,-1.8, 0.7
"North Dakota",38000,705.5 ,688.4, 723,6832,falling,-1.7 ,-3.3, -0.2
